                 ,val                ,test                ,id_val              ,id_test
acc_avg          ,0.4232337474822998 ,0.5988876223564148  ,0.681979775428772   ,0.6059602499008179
recall-macro_all ,0.1685802186665762 ,0.13708626709784338 ,0.24277196162308493 ,0.27010889890603473
F1-macro_all     ,0.1665031750411064 ,0.12761429880424274 ,0.24462172332812945 ,0.2631566552995001
