,val,test,id_val,id_test
acc_avg,0.3418220579624176,0.4482017159461975,0.5828548073768616,0.5391219258308411
recall-macro_all,0.1209167581286571,0.09807816044840553,0.17813634600742564,0.2296427760788236
F1-macro_all,0.1109473717040244,0.0883687524307059,0.16462326997894042,0.22934657694619437
